ClimateKG_Author_ID,QID,Item_URL,Batch,Action
AU0001,Q3999,http://localhost:8080/wiki/Item:Q3999,Original,KEEP
AU0001,Q4932,http://localhost:8080/wiki/Item:Q4932,Duplicate,DELETE
AU0002,Q4000,http://localhost:8080/wiki/Item:Q4000,Original,KEEP
AU0002,Q4933,http://localhost:8080/wiki/Item:Q4933,Duplicate,DELETE
AU0003,Q4001,http://localhost:8080/wiki/Item:Q4001,Original,KEEP
AU0003,Q4934,http://localhost:8080/wiki/Item:Q4934,Duplicate,DELETE
AU0004,Q4002,http://localhost:8080/wiki/Item:Q4002,Original,KEEP
AU0004,Q4935,http://localhost:8080/wiki/Item:Q4935,Duplicate,DELETE
AU0005,Q4003,http://localhost:8080/wiki/Item:Q4003,Original,KEEP
AU0005,Q4936,http://localhost:8080/wiki/Item:Q4936,Duplicate,DELETE
AU0006,Q4004,http://localhost:8080/wiki/Item:Q4004,Original,KEEP
AU0006,Q4937,http://localhost:8080/wiki/Item:Q4937,Duplicate,DELETE
AU0007,Q4005,http://localhost:8080/wiki/Item:Q4005,Original,KEEP
AU0007,Q4938,http://localhost:8080/wiki/Item:Q4938,Duplicate,DELETE
AU0008,Q4006,http://localhost:8080/wiki/Item:Q4006,Original,KEEP
AU0008,Q4939,http://localhost:8080/wiki/Item:Q4939,Duplicate,DELETE
AU0009,Q4007,http://localhost:8080/wiki/Item:Q4007,Original,KEEP
AU0009,Q4940,http://localhost:8080/wiki/Item:Q4940,Duplicate,DELETE
AU0010,Q4008,http://localhost:8080/wiki/Item:Q4008,Original,KEEP
AU0010,Q4941,http://localhost:8080/wiki/Item:Q4941,Duplicate,DELETE
AU0011,Q4009,http://localhost:8080/wiki/Item:Q4009,Original,KEEP
AU0011,Q4942,http://localhost:8080/wiki/Item:Q4942,Duplicate,DELETE
AU0012,Q4010,http://localhost:8080/wiki/Item:Q4010,Original,KEEP
AU0012,Q4943,http://localhost:8080/wiki/Item:Q4943,Duplicate,DELETE
AU0013,Q4011,http://localhost:8080/wiki/Item:Q4011,Original,KEEP
AU0013,Q4944,http://localhost:8080/wiki/Item:Q4944,Duplicate,DELETE
AU0014,Q4012,http://localhost:8080/wiki/Item:Q4012,Original,KEEP
AU0014,Q4945,http://localhost:8080/wiki/Item:Q4945,Duplicate,DELETE
AU0015,Q4013,http://localhost:8080/wiki/Item:Q4013,Original,KEEP
AU0015,Q4946,http://localhost:8080/wiki/Item:Q4946,Duplicate,DELETE
AU0016,Q4014,http://localhost:8080/wiki/Item:Q4014,Original,KEEP
AU0016,Q4947,http://localhost:8080/wiki/Item:Q4947,Duplicate,DELETE
